"Summary","Description","Work Type","Priority","Status","Component","Labels","Labels","Labels"
"A dynamic related list filtered by record type was never updated when a new record type was introduced, so qualifying records of the new type never appeared on it","CONTEXT
A dynamic related list on the account page displays related opportunities filtered to specific record types relevant to the account's business line.

ISSUE OR REQUEST
A new opportunity record type introduced for an expanded product line never appeared on the related list, even for accounts clearly qualifying for it.

EXPECTED BEHAVIOR
The related list's filter should be reviewed and updated whenever a new record type is introduced that should logically appear there.

ACTUAL BEHAVIOR
The related list's filter explicitly lists included record types rather than excluding irrelevant ones, so a newly added type defaulted to being excluded.

INVESTIGATION AND FINDINGS
The record type rollout checklist for the new product line did not include a step to review dependent related list filters across the org.

RESOLUTION
The related list's filter was updated to include the new record type, and the rollout checklist now includes a related-list filter review step.

VALIDATION
A test account with an opportunity of the new record type now correctly displays it on the related list.","Bug","Medium","Done","Dynamic Related List Missed New Record Type","tckt-0918","family-crm-record-management","solution-verified"
"A skinny table built to speed up a heavily filtered list view went stale after a bulk field update, since skinny tables are not refreshed by certain bulk update paths","CONTEXT
A skinny table was configured on a high-volume object to speed up a heavily filtered list view, mirroring a subset of fields for faster querying.

ISSUE OR REQUEST
After a large bulk field update ran through a specific loading tool, the list view continued showing outdated values for hours despite records being correctly updated.

EXPECTED BEHAVIOR
The skinny table should refresh promptly to reflect any bulk update to its mirrored fields.

ACTUAL BEHAVIOR
The bulk update path used bypassed the standard synchronization trigger that normally keeps the skinny table current, a known characteristic of that path.

INVESTIGATION AND FINDINGS
The platform vendor confirmed this is expected for the specific loading path used and recommended a manual refresh request after any large bulk update.

RESOLUTION
As an interim step, the team now submits a manual skinny table refresh request after any large bulk update through the affected path.

VALIDATION
The manual refresh resolved staleness within the expected turnaround in the two most recent updates, though the trigger gap remains a platform limitation.","Bug","Medium","In Progress","Skinny Table Stale After Bulk Update","tckt-0919","family-crm-record-management","solution-partial"
"Two duplicate rules with different match criteria both fire on the same save, but the platform's alert only surfaces the first rule's matches, hiding a second, more relevant duplicate","CONTEXT
Two duplicate rules are active on the account object, one matching on company name and one matching on a combination of billing address fields, both intended to run on every save.

ISSUE OR REQUEST
A user reported creating a duplicate that the address-based rule should have caught, but only the name-based rule's unrelated, less relevant matches appeared in the alert.

EXPECTED BEHAVIOR
When multiple duplicate rules find matches on the same save, all relevant matches from every rule should be surfaced to the user.

ACTUAL BEHAVIOR
The duplicate alert interface displays only the first rule's matches by evaluation order, silently suppressing a second rule's matches on the same save.

INVESTIGATION AND FINDINGS
This was confirmed as a documented interface limitation rather than a rule configuration error, reproduced consistently across several test scenarios with two active rules.

RESOLUTION
The two rules were consolidated into a single rule with combined match criteria, ensuring all relevant matches surface together in one alert.

VALIDATION
A test record matching both original criteria sets now shows all relevant duplicate matches in a single consolidated alert.","Bug","Medium","Done","Second Duplicate Rule's Matches Hidden","tckt-0920","family-crm-record-management","solution-verified"
"Users switching between two Lightning apps see two different page layouts for the same record with different visible fields, since the app-specific page assignment was configured inconsistently","CONTEXT
Lightning App Builder allows a record page to be assigned per app, and two apps used by overlapping teams each have their own assignment for the same record page.

ISSUE OR REQUEST
Users working across both apps for the same record type saw a different set of visible fields depending on which app they were in, causing data entry confusion.

EXPECTED BEHAVIOR
Teams sharing the same record type across multiple apps should see a consistent layout unless a deliberate difference is intended.

ACTUAL BEHAVIOR
The two apps' page assignments were configured independently by different admins at different times, with no coordination on which fields appear.

INVESTIGATION AND FINDINGS
Consolidating to a single shared assignment is the long-term fix, but it requires reconciling each app's distinct workflow needs, not yet fully scoped.

RESOLUTION
As an interim step, the two assignments were manually aligned to show the same core fields, while full consolidation is scoped separately.

VALIDATION
A side-by-side comparison confirmed the core fields now match between the two apps, though each retains a few app-specific fields pending consolidation.","Bug","Low","In Progress","Inconsistent Layout Between Two Apps","tckt-0921","family-crm-record-management","solution-workaround"
"A mass update using a data loading tool's insert-null-values option on an update operation blanked several fields that were intentionally left off the update mapping","CONTEXT
A mass update was performed through a data loading tool with an option enabled that inserts null values for any field present in the source file but left blank for a given row.

ISSUE OR REQUEST
Several fields that had been intentionally excluded from the update's column mapping were blanked out on thousands of records after the load completed.

EXPECTED BEHAVIOR
Fields excluded from the update's mapping should remain untouched, regardless of the insert-null-values setting.

ACTUAL BEHAVIOR
The operator misunderstood the setting's scope, believing it only applied to mapped columns left blank rather than also affecting how the tool interpreted the overall operation.

INVESTIGATION AND FINDINGS
A review confirmed exactly which fields and how many records were affected by cross-referencing a pre-load backup export taken as routine practice.

RESOLUTION
The affected fields were restored from the pre-load backup export, and the team's data loading checklist now explicitly calls out reviewing this setting before every mass update.

VALIDATION
A sample of five hundred restored records was spot-checked against the backup export and confirmed to match exactly.","Bug","High","Done","Insert Null Values Blanked Unmapped Fields","tckt-0922","family-crm-record-management","solution-verified"
"Apex-managed sharing recalculated by a nightly batch job silently excluded records created on weekends due to a bug in the batch job's scope query date logic","CONTEXT
A custom object's sharing is calculated by a nightly Apex batch job using Apex-managed sharing, with the job's scope query selecting records created since its last successful run.

ISSUE OR REQUEST
Users found they had no sharing access to records that were confirmed to have been created over a weekend, despite the batch job running successfully every night since.

EXPECTED BEHAVIOR
The batch job's scope query should include every record created since its last run, regardless of the day of the week.

ACTUAL BEHAVIOR
The scope query's date boundary calculation had an off-by-one error specific to how it handled the gap across a weekend, permanently excluding weekend-created records from ever being scoped.

INVESTIGATION AND FINDINGS
Eighty-three records created on weekends over the prior two months were confirmed to have never had their sharing calculated.

RESOLUTION
The scope query's date logic was corrected, and a one-time run was triggered specifically targeting the eighty-three previously missed records.

VALIDATION
The eighty-three records were confirmed to have correct sharing access after the targeted run, and two subsequent weekends processed correctly.","Bug","Medium","Done","Batch Job Scope Query Excludes Weekend Records","tckt-0923","family-crm-record-management","solution-verified"
"A report-based automation written before Person Accounts were enabled applies Contact-only field logic to Person Account records, corrupting a subset of them","CONTEXT
A scheduled automation was originally written to process standard Contact records using field logic specific to that object, before Person Accounts were later enabled in the org.

ISSUE OR REQUEST
A subset of Person Account records, which share underlying Contact-like fields, are processed by the same automation and end up with corrupted field values.

EXPECTED BEHAVIOR
It has not yet been determined whether the automation should be modified to handle Person Accounts correctly or excluded from processing them.

ACTUAL BEHAVIOR
The automation's query does not distinguish Person Accounts from standard Contacts, applying logic that assumes a field configuration only true for Contacts.

INVESTIGATION AND FINDINGS
The full scope of corrupted records has not yet been determined, since isolating which field changes came from this automation requires further log analysis.

RESOLUTION
No fix has been applied yet, since the automation continues running while the scope of already-corrupted records is assessed.

VALIDATION
The next step is to cross-reference the automation's execution log against Person Account field history to scope affected records before deciding on a fix.","Bug","High","In Progress","Automation Applies Contact Logic To Person Accounts","tckt-0924","family-crm-record-management","solution-unresolved"
"A CPQ discount schedule referencing a tiered pricing table was updated for new deals but not retroactively for in-flight quotes, so quotes started before the update calculated against stale tiers","CONTEXT
CPQ discount schedules reference a shared tiered pricing table, updated periodically as part of routine pricing strategy changes.

ISSUE OR REQUEST
A batch of quotes already in progress when the pricing table was updated continued calculating discounts against the prior tiers instead of picking up the new values.

EXPECTED BEHAVIOR
In-flight quotes should recalculate against the current pricing table whenever it changes, or should be clearly flagged as using a locked prior version.

ACTUAL BEHAVIOR
The discount schedule's values were snapshotted onto the quote at creation time and never refreshed, a detail not communicated to the sales team when the pricing update went out.

INVESTIGATION AND FINDINGS
Nineteen in-flight quotes were confirmed using the stale tiers, all created in the two weeks before the pricing update.

RESOLUTION
The nineteen affected quotes were manually regenerated against the current pricing table, and the pricing update communication process now explicitly flags in-flight quotes for review.

VALIDATION
The nineteen regenerated quotes were confirmed to reflect current pricing tiers, verified against the updated table directly.","Bug","High","Done","In-Flight Quotes Used Stale Pricing Tiers","tckt-0925","family-revenue-operations","solution-verified"
"An Order Management flow did not carry forward a contract's negotiated payment terms onto orders generated from contract renewal, defaulting every renewal order to standard terms","CONTEXT
Orders generated automatically from a contract renewal are expected to inherit the original contract's negotiated payment terms field, alongside several other contract-level attributes.

ISSUE OR REQUEST
Finance found that renewal orders consistently showed standard payment terms regardless of what had been individually negotiated on the original contract, causing invoicing discrepancies for several accounts.

EXPECTED BEHAVIOR
A renewal order should inherit the same negotiated payment terms as the contract it renews, matching the customer's original agreement.

ACTUAL BEHAVIOR
The renewal order generation logic mapped most contract fields but had never included the payment terms field in its mapping since the object was first built.

INVESTIGATION AND FINDINGS
Twenty-six renewal orders over the prior quarter were confirmed to have incorrectly defaulted terms, requiring manual correction with affected customers and their account teams.

RESOLUTION
The payment terms field was added to the renewal order generation mapping, and the twenty-six affected orders were corrected and reissued to the customers involved.

VALIDATION
A test renewal from a contract with non-standard terms now correctly carries those terms onto the generated order, confirmed against the original contract record.","Bug","High","Done","Renewal Orders Default To Standard Payment Terms","tckt-0926","family-revenue-operations","solution-verified"
"A revenue schedule for a ramped subscription miscalculates year two's recognized revenue because the schedule template assumes a flat quantity across the full term","CONTEXT
A revenue recognition schedule is generated from a template that spreads a subscription's total value evenly across its term, built before ramped subscriptions with increasing quantity per year existed as a product option.

ISSUE OR REQUEST
A ramped subscription's year two revenue was recognized using the same flat monthly amount as year one, understating year two and overstating year one.

EXPECTED BEHAVIOR
The schedule should recognize revenue proportional to each year's actual contracted quantity for a ramped subscription.

ACTUAL BEHAVIOR
The template has no concept of a quantity change mid-term, spreading the contract's total value evenly regardless of the ramp structure.

INVESTIGATION AND FINDINGS
Building a ramp-aware schedule template is a larger effort than a quick fix and has been scoped as a proper project with finance, not yet started.

RESOLUTION
As an interim step, ramped subscriptions are now flagged for manual schedule adjustment by finance until the ramp-aware template project is completed.

VALIDATION
The manual adjustment process was applied successfully to the three ramped subscriptions closed since the issue was found, pending the template project.","Bug","Medium","In Progress","Revenue Schedule Assumes Flat Quantity","tckt-0927","family-revenue-operations","solution-workaround"
"Forecast category updates based on stage, but a separate Apex trigger firing after the standard update silently overwrites it back to the old value","CONTEXT
Forecast category automatically updates based on opportunity stage through standard platform behavior, with a separate custom Apex trigger also firing on stage change for an unrelated notification purpose.

ISSUE OR REQUEST
Forecast rollups intermittently showed opportunities at their previous forecast category despite the stage having clearly advanced.

EXPECTED BEHAVIOR
The forecast category should reflect the current stage after any stage change completes.

ACTUAL BEHAVIOR
The custom trigger executed after the standard forecast category update and re-saved the record using a cached prior value, inadvertently reverting the category.

INVESTIGATION AND FINDINGS
The custom trigger's re-save was an unintended side effect of how it captured the record's state at the start of the transaction rather than after the platform's own update.

RESOLUTION
The custom trigger was updated to re-query the record's current forecast category immediately before its own save, avoiding the stale overwrite.

VALIDATION
Ten test stage advancements confirmed forecast category now correctly reflects the new stage after both automations complete.","Bug","High","Done","Second Trigger Overwrites Forecast Category","tckt-0928","family-revenue-operations","solution-verified"
"A CPQ approval process re-evaluates against list price after a quote is cloned for renewal, ignoring that the clone inherited an already-approved discount, triggering unnecessary re-approval","CONTEXT
A CPQ approval process checks a quote's discount against list price whenever the quote is saved, intended to catch new discounts requiring sign-off.

ISSUE OR REQUEST
Quotes cloned from an already-approved original for a straightforward renewal re-triggered the same approval requirement, even though the discount itself was unchanged and previously approved.

EXPECTED BEHAVIOR
A cloned quote carrying forward an already-approved discount should not require re-approval for the same unchanged discount.

ACTUAL BEHAVIOR
The approval process has no memory of a discount's prior approval status once cloned onto a new quote record, treating every clone as entirely new.

INVESTIGATION AND FINDINGS
Hundreds of straightforward renewals were found triggering unnecessary approval requests monthly, adding meaningful delay to routine renewal processing.

RESOLUTION
As a workaround, a flag was added that CPQ administrators can set on a clone to bypass re-approval when the discount is verifiably unchanged from the approved original.

VALIDATION
The bypass flag correctly skipped re-approval for fifty test renewal clones with unchanged discounts, while a clone with a modified discount still triggered approval as expected.","Bug","Medium","In Progress","Renewal Clone Re-Triggers Unneeded Approval","tckt-0929","family-revenue-operations","solution-workaround"
"A report type built before dated exchange rates were enabled still uses the static corporate exchange rate for historical figures, producing quietly wrong historical currency conversions","CONTEXT
The org uses dated exchange rates for accurate historical conversion, enabled some time after a specific custom report type had already been built using the default conversion.

ISSUE OR REQUEST
Finance found historical figures in reports built on this older report type do not match figures from newer reports using dated rates for the same period.

EXPECTED BEHAVIOR
It has not yet been decided whether the older report type should be rebuilt or retired in favor of dated-rate-aware reports.

ACTUAL BEHAVIOR
The report type's conversion behavior predates dated exchange rates and continues using the static corporate rate regardless of close date.

INVESTIGATION AND FINDINGS
Several other reports were found still built on this same older report type, so the scope of affected figures is broader than assumed.

RESOLUTION
No fix has been applied yet, since the rebuild-versus-retire decision has not been made and the full list of dependent reports is still being compiled.

VALIDATION
The next step is to finish compiling the list of dependent reports so finance can decide whether to rebuild or retire the report type.","Task","Medium","In Progress","Report Type Ignores Dated Exchange Rates","tckt-0930","family-revenue-operations","solution-unresolved"
"A custom rollup summarizing total contract value walked up an account hierarchy using the Parent Account field, but a territory reorganization reassigned rollups to the wrong ultimate parent","CONTEXT
A custom rollup on the account object sums total contract value across an entire account hierarchy, calculated by walking up the standard Parent Account field to the ultimate top-level parent.

ISSUE OR REQUEST
A territory reorganization project reparented several accounts for unrelated territory reasons, and the rollup silently reassigned their contract value totals to a different ultimate parent as a side effect.

EXPECTED BEHAVIOR
A change to account hierarchy for territory purposes should not silently redistribute financial rollup totals without review.

ACTUAL BEHAVIOR
The rollup recalculates automatically on any Parent Account change, with no distinction between a territory-driven reparenting and a genuine corporate hierarchy change.

INVESTIGATION AND FINDINGS
Seven top-level parent accounts saw their rollup totals shift as a direct side effect of the territory project, confirmed by comparing rollup values before and after the reorganization.

RESOLUTION
A separate hierarchy field dedicated to financial rollups was introduced, decoupled from the territory-driven Parent Account field, and the seven affected totals were corrected.

VALIDATION
The corrected rollups were manually verified against the original pre-reorganization hierarchy and confirmed to match.","Bug","High","Done","Territory Reorg Silently Reassigned Rollup Totals","tckt-0931","family-revenue-operations","solution-verified"
"A rep working an opportunity in a second currency inadvertently selected a price book entry priced in the wrong currency, and no validation caught the mismatch before the quote was sent","CONTEXT
Price book entries are maintained separately per active currency, and opportunities can be worked in any currency enabled for the org.

ISSUE OR REQUEST
A rep working a foreign-currency opportunity accidentally added a price book entry priced in a different currency, and the quote was sent to the customer before anyone caught the mismatch.

EXPECTED BEHAVIOR
It has not yet been decided whether a hard validation block or a softer warning is the appropriate response to a currency mismatch at the point of entry.

ACTUAL BEHAVIOR
No validation currently exists comparing a selected price book entry's currency against the opportunity's own currency before allowing it to be added.

INVESTIGATION AND FINDINGS
Product and sales operations are discussing whether a hard block could interfere with legitimate cross-currency use cases that exist for certain international deals.

RESOLUTION
No fix has been applied yet, since the appropriate validation approach is still under discussion between product and sales operations.

VALIDATION
The next step is to finalize whether a hard block or warning is appropriate, after which the corresponding validation can be built and tested.","Bug","Medium","In Progress","No Validation On Price Book Currency Mismatch","tckt-0932","family-revenue-operations","solution-unresolved"
"A partner referral commission calculation requires the partner tag before a deal reaches a specific stage, but a bulk stage-advancement tool pushed referred deals past that stage before tagging, losing eligibility","CONTEXT
Partner referral commission eligibility requires a partner tag to be applied to the opportunity before it reaches a specific pipeline stage, enforced by the commission calculation logic.

ISSUE OR REQUEST
A bulk stage-advancement tool used during a pipeline cleanup effort pushed several referred deals past the eligibility stage before their partner tags had been applied.

EXPECTED BEHAVIOR
Bulk pipeline operations should not inadvertently cause legitimate partner referrals to lose commission eligibility.

ACTUAL BEHAVIOR
The bulk tool advanced stages purely based on age and activity criteria, with no awareness of the partner tagging dependency tied to commission eligibility.

INVESTIGATION AND FINDINGS
Six referred deals were confirmed to have lost eligibility under the current logic, all traced to the same bulk cleanup run.

RESOLUTION
The six deals were manually flagged as eligible with a documented exception approved by sales operations, and the bulk tool was updated to exclude opportunities pending partner tag application.

VALIDATION
The six deals' commission eligibility was confirmed corrected, and a repeat bulk run excluded all opportunities pending a partner tag as intended.","Bug","Medium","Done","Bulk Stage Advancement Skipped Partner Tagging","tckt-0933","family-revenue-operations","solution-verified"
"A custom object tracking one-time setup fee revenue events was never included in finance's month-end reconciliation report, so several months of fee revenue went unreported in leadership dashboards","CONTEXT
One-time setup fees are tracked on a custom object separate from standard opportunity revenue, introduced after the finance team's month-end reconciliation report was already built.

ISSUE OR REQUEST
Finance discovered during a manual cross-check against source contracts that several months of one-time fee revenue never appeared in leadership dashboards built from the reconciliation report.

EXPECTED BEHAVIOR
The reconciliation report should include every revenue-generating object relevant to the business, including the custom fee-tracking object.

ACTUAL BEHAVIOR
The reconciliation report was never updated to include the newer custom object, since its introduction was not communicated to the team maintaining the report.

INVESTIGATION AND FINDINGS
Five months of one-time fee revenue were confirmed missing from leadership dashboards, with the total now calculated separately for a corrective adjustment.

RESOLUTION
The reconciliation report was updated to include the fee-tracking object, and the five months of missing revenue were added as a one-time adjustment to leadership dashboards.

VALIDATION
The corrected dashboards were reviewed and confirmed by finance to match the manually calculated total, though the adjustment required a one-time manual entry rather than automated backfill.","Task","Medium","In Progress","One-Time Fee Revenue Excluded From Reconciliation","tckt-0934","family-revenue-operations","solution-partial"
"A consumer using the Tooling API to read custom field metadata got a response omitting a property the REST API includes for the same field, causing a schema misclassification","CONTEXT
An integration reads custom field metadata through the Tooling API at startup to build an internal schema cache used for validating outbound data before sending it.

ISSUE OR REQUEST
A specific field type consistently caused the integration's schema cache to misclassify the field's expected data format, leading to validation errors on otherwise valid data.

EXPECTED BEHAVIOR
The Tooling API response should include enough information to correctly classify every field type the integration needs to handle.

ACTUAL BEHAVIOR
The Tooling API's response for this field type omitted a property that the standard REST API's describe call includes, which the integration's classification logic depended on.

INVESTIGATION AND FINDINGS
Comparing the two APIs' responses for the same field side by side confirmed the specific missing property and its presence in the REST API alternative.

RESOLUTION
The integration's schema cache builder was updated to supplement Tooling API metadata with a REST API describe call specifically for this field type.

VALIDATION
A test integration run against fields of this type now classifies them correctly and passes validation for genuinely valid data.","Bug","Medium","Done","Tooling API Field Metadata Omits Property","tckt-0935","family-api-platform","solution-verified"
"An integration using JWT bearer flow continued working in a cached token state for hours after certificate rotation, then failed all at once when the cached token expired","CONTEXT
An external system authenticates using a JWT bearer flow against a certificate configured in the org, with the client caching its resulting session token for reuse.

ISSUE OR REQUEST
After the certificate was rotated, the integration appeared unaffected for hours before failing entirely once its cached token expired, delaying detection of the rotation timing.

EXPECTED BEHAVIOR
A certificate rotation's effect should be immediately visible rather than masked by a long-lived cached token.

ACTUAL BEHAVIOR
The client's caching behavior is intentional for performance, but was not designed with certificate rotation monitoring in mind.

INVESTIGATION AND FINDINGS
The client vendor confirmed the caching is by design and offers no way to detect an underlying certificate change before the token naturally expires.

RESOLUTION
As an interim step, the rotation process now includes a manual token cache clear on the client immediately after rotation, avoiding the masking delay.

VALIDATION
The most recent rotation using the manual clear step showed immediate, correctly timed failure and recovery, though an automated solution is still pending.","Bug","High","In Progress","Cached Token Masked Certificate Rotation Timing","tckt-0936","family-api-platform","solution-partial"
"A consumer relying on the includeDeleted parameter to track deletions missed records that were hard-deleted through a data management tool bypassing the recycle bin entirely","CONTEXT
A consumer's deletion-tracking logic queries with the includeDeleted parameter to detect records that moved to the recycle bin since its last check.

ISSUE OR REQUEST
A batch of records deleted through a data management tool that performs a hard delete never appeared in the consumer's deletion tracking, since they never passed through the recycle bin.

EXPECTED BEHAVIOR
The consumer's deletion tracking should account for the possibility of records being hard-deleted rather than only soft-deleted through the recycle bin.

ACTUAL BEHAVIOR
Hard deletes bypass the recycle bin entirely, and the includeDeleted mechanism the consumer relies on has no visibility into records removed this way.

INVESTIGATION AND FINDINGS
Sixty-three records hard-deleted through the data management tool over one month were confirmed missing from the consumer's deletion tracking.

RESOLUTION
The consumer's deletion tracking was supplemented with a periodic reconciliation pass comparing full record counts against its own last-known set, catching hard deletes indirectly.

VALIDATION
The reconciliation pass correctly identified the sixty-three previously missed deletions when run retroactively against the affected period.","Bug","Medium","Done","Hard Delete Bypasses Deletion Tracking","tckt-0937","family-api-platform","solution-verified"
"A platform event resubscription assumed contiguous replay IDs, but an event bus trimming operation created a gap that caused the consumer's resume logic to silently skip a window of events","CONTEXT
A platform event subscriber resumes from its last processed replay ID after any disconnection, built on the assumption that replay IDs form a contiguous sequence.

ISSUE OR REQUEST
Following a platform-side event bus trimming operation, the resume logic silently skipped a window of events whose replay IDs fell within the resulting gap.

EXPECTED BEHAVIOR
It is not yet clear what the correct behavior should be when a gap exists, since trimming is expected but the consumer has no way to detect it.

ACTUAL BEHAVIOR
The subscriber resumed from its last known replay ID with no indication a gap existed between that ID and the next available event.

INVESTIGATION AND FINDINGS
The platform vendor confirmed trimming can create such gaps under normal retention policy but offers no way for a consumer to detect one occurred.

RESOLUTION
No fix has been applied yet, since no reliable mechanism currently exists to detect a replay ID gap from the consumer side.

VALIDATION
The next step is to work with the platform vendor to determine whether a gap-detection mechanism can be added to the subscription API.","Bug","High","In Progress","Replay ID Gap Silently Skipped Events","tckt-0938","family-api-platform","solution-unresolved"
"A custom Apex REST endpoint was refactored to return a wrapper class with pagination metadata instead of a plain list, and consumers not notified of the version bump failed schema validation","CONTEXT
A custom Apex REST endpoint originally returned a plain list of records, refactored to return a wrapper object including pagination metadata alongside the same record data.

ISSUE OR REQUEST
A subset of consumers that had not been notified of the change began failing schema validation, since their parsers expected the original plain list structure.

EXPECTED BEHAVIOR
A breaking change to a custom endpoint's response structure should be communicated to every known consumer before deployment.

ACTUAL BEHAVIOR
The endpoint's consumer registry was incomplete, missing two integrations that had been built directly against it without formally registering as consumers.

INVESTIGATION AND FINDINGS
The two unregistered consumers were identified once their failures were traced back to the endpoint change, confirming the registry gap as the root communication failure.

RESOLUTION
The two consumers were updated to handle the new wrapper structure, and the consumer registry was audited and completed to prevent a similar communication gap.

VALIDATION
Both updated consumers were confirmed processing the new response structure correctly, and the completed registry was cross-checked against actual endpoint traffic.","Bug","High","Done","Unversioned Endpoint Refactor Broke Consumers","tckt-0939","family-api-platform","solution-verified"
"An outbound Apex callout routed through a configured proxy with a smaller request size limit than Salesforce's own outbound limit failed silently for larger callouts with no error surfaced back","CONTEXT
Outbound Apex callouts to an external service are routed through a configured network proxy, which enforces its own request size limit independent of the platform's outbound limit.

ISSUE OR REQUEST
A subset of larger callouts, still within the platform's own size limit, failed at the proxy with no error information returned to the calling Apex code.

EXPECTED BEHAVIOR
A callout blocked by the proxy's size limit should surface a clear error rather than failing in a way indistinguishable from other failure types.

ACTUAL BEHAVIOR
The proxy silently drops oversized requests without an informative response, and the Apex code's generic error handling could not distinguish this from other network issues.

INVESTIGATION AND FINDINGS
The network team confirmed the proxy's size limit as the cause after correlating callout payload sizes against failure timing, though changing the proxy's own limit is outside this team's control.

RESOLUTION
As a workaround, the Apex code now checks payload size before sending and splits any callout exceeding the proxy's limit into smaller sequential requests.

VALIDATION
Ten previously failing large callouts now complete successfully using the split-request approach.","Bug","Medium","In Progress","Proxy Size Limit Silently Drops Large Callouts","tckt-0940","family-api-platform","solution-workaround"
"A scope-narrowing change intended for one integration's authorization flow was accidentally applied to a Connected App shared with a second, unrelated integration","CONTEXT
Two separate integrations were both configured to use the same Connected App, requesting different OAuth scopes at their own individual authorization time.

ISSUE OR REQUEST
A scope-narrowing change intended only for the first integration's authorization request was mistakenly applied to the Connected App's default scope setting, affecting the second integration's next token refresh.

EXPECTED BEHAVIOR
A scope change intended for one integration's authorization flow should not affect a different integration sharing the same Connected App.

ACTUAL BEHAVIOR
The change was made at the Connected App's default scope level rather than scoped to the specific authorization flow, since the two integrations' shared use of the app was not accounted for.

INVESTIGATION AND FINDINGS
The second integration's next token refresh failed with a permission error immediately after the change, tracing directly back to the default scope modification.

RESOLUTION
The default scope was reverted, and the two integrations were migrated to their own dedicated Connected Apps to prevent future cross-impact.

VALIDATION
Both integrations were confirmed authenticating successfully with their own independent scopes after the migration.","Bug","High","Done","Scope Change Accidentally Affected Shared App","tckt-0941","family-api-platform","solution-verified"
"A REST API consumer's long-running extract held a queryLocator open across a period of significant underlying data change, and the resulting locator expiration error aborted the entire extract","CONTEXT
A REST API consumer paginates a large extract using a queryLocator, normally completing well within the locator's validity window.

ISSUE OR REQUEST
An unusually long-running extract held its locator open long enough to hit expiration, and the consumer's retry logic had no specific handling for this error, aborting the entire extract rather than resuming.

EXPECTED BEHAVIOR
A locator expiration during a long extract should be handled gracefully, resuming from a safe point rather than discarding all progress.

ACTUAL BEHAVIOR
The consumer's generic retry logic treated the locator expiration the same as any other transient error, retrying the same expired locator rather than starting a fresh query from the last known position.

INVESTIGATION AND FINDINGS
The consumer's own logs confirmed it had already successfully processed most of the extract before the expiration discarded that progress entirely.

RESOLUTION
The consumer's retry logic was updated to specifically detect locator expiration and restart pagination from the last successfully processed record's position.

VALIDATION
A simulated long-running extract forced past the expiration window now correctly resumes and completes rather than aborting.","Bug","Medium","Done","Locator Expiration Aborted Long Extract","tckt-0942","family-api-platform","solution-verified"
"A Salesforce Connect external object displayed blank records rather than an error when the external system timed out during a spike in callout volume, misleading users","CONTEXT
An external object surfaces data from an outside system through Salesforce Connect, normally displaying that data reliably under typical callout volume.

ISSUE OR REQUEST
During a spike in Salesforce Connect callout volume, some external object records displayed with entirely blank fields rather than any indication that the underlying request had timed out.

EXPECTED BEHAVIOR
A timeout retrieving external object data should be surfaced to the user as an error rather than displayed as if the record genuinely has no data.

ACTUAL BEHAVIOR
The default rendering behavior for a failed external object retrieval falls back to blank fields rather than an explicit error state.

INVESTIGATION AND FINDINGS
The pattern was reproduced in a sandbox by artificially throttling the external system, confirming the blank-field fallback as the platform's default behavior under timeout.

RESOLUTION
A custom Lightning component was built to replace the default external object display, explicitly showing an error state when the underlying callout fails or times out.

VALIDATION
The custom component was tested under a simulated timeout and correctly displayed an error message instead of blank fields.","Bug","Medium","Done","External Object Shows Blank Instead Of Error","tckt-0943","family-api-platform","solution-verified"
"A consumer using Bulk API 2.0 assumes job completion means all data loaded, but the monitoring only checks job-level status and misses individually failed records within an otherwise complete job","CONTEXT
A consumer loads data through Bulk API 2.0 and monitors job completion status to confirm a load finished successfully, without separately checking the job's failed-records file.

ISSUE OR REQUEST
A load reported as complete actually had a subset of individual records fail, but these failures went unnoticed since the consumer's monitoring only checked the overall job-level status.

EXPECTED BEHAVIOR
The consumer's monitoring should also check for individually failed records within a job reported as complete.

ACTUAL BEHAVIOR
The monitoring script was originally built to check job-level status only, before individual record failure rates became noticeable enough to warrant deeper checking.

INVESTIGATION AND FINDINGS
A review of recent job history found several prior loads with a small percentage of individually failed records that had gone completely unnoticed until now.

RESOLUTION
The monitoring script was updated to also retrieve and check the failed-records file for every completed job, alerting on any non-empty result.

VALIDATION
The updated monitoring correctly flagged a subsequent load's failed records, though a backfill to identify all historically missed failures is still in progress.","Bug","Medium","In Progress","Job-Level Status Masks Individual Record Failures","tckt-0944","family-api-platform","solution-partial"
"A schema context retrieval step truncates custom field descriptions after a fixed character count, so questions relying on longer business-specific descriptions get an incomplete understanding of the field","CONTEXT
The assistant retrieves field-level metadata, including custom field descriptions, to interpret business terminology in questions, passed through a fixed-length context window.

ISSUE OR REQUEST
A question relying on a lengthy custom field description explaining a nuanced business rule was answered incorrectly, since the description had been cut off mid-explanation.

EXPECTED BEHAVIOR
The assistant should retain enough of a field's description to correctly interpret the rule it explains, or flag when truncated.

ACTUAL BEHAVIOR
The retrieval step truncated the description at a fixed character count regardless of whether the cut point fell in essential context.

INVESTIGATION AND FINDINGS
Seven fields across the schema were found with descriptions long enough to be truncated at the current limit.

RESOLUTION
The truncation limit was raised for these seven known fields through a manual override, but the fixed limit itself remains unchanged for any other field that may grow long enough to be truncated later.

VALIDATION
The original question was re-asked and now correctly reflects the full rule, though the underlying fixed limit has not been generally resolved.","Bug","Medium","In Progress","Field Description Truncation Loses Context","tckt-0945","family-ai-to-soql","solution-partial"
